EIN,"""form_year"":","""fiscalYearEnd"":","""form_type"":","""changeOfAccounting"":","""fs_contributions"":","""fs_program_service_revenue"":","""fs_other"":","""fs_miscellaneous"":","""ngla_revenue"":","""ngla_contrib_revenue"":","""ngla_grant_revenue"":","""ngla_prog_serv_revenue"":","""ngla_invest_revenue"":","""ngla_special_revenue"":","""ngla_sales_revenue"":","""ngla_other_revenue"":","""ngla_expense"":","""ngla_prog_expense"":","""ngla_admin_expense"":","""ngla_fund_expense"":","""ngla_net_gain_loss"":","""quick_ratio"":","""months_of_cash"":","""fringe_rate"":"
04-2492730,2018,2019,"""9""","""""",7058293.0,35953862.0,338839.0,0.0,43350994.0,370424.0,6687869.0,35953862.0,338839.0,0.0,0.0,0.0,44141935.0,36914893.0,7227042.0,0.0,-790941.0,0.3791457386618967,1.0365858361037277,0.16843365819986023
04-2492730,2019,2020,"""9""","""""",7984522.0,38320568.0,241146.0,0.0,46546236.0,663672.0,7320850.0,38320568.0,241146.0,0.0,0.0,0.0,45848122.0,38349657.0,7498465.0,0.0,698114.0,0.6202393946740916,3.978473792869702,0.1682541358258104
01-0414441,2008,2009,"""Z""","""""",null,null,null,null,676467.0,581342.0,0.0,87818.0,0.0,0.0,null,7307.0,685543.0,0.0,0.0,0.0,-9076.0,null,null,null
01-0414441,2009,2010,"""9""","""""",910863.0,1968.0,12449.0,3775.0,929055.0,97862.0,813001.0,1968.0,12449.0,0.0,0.0,3775.0,834653.0,495110.0,339543.0,0.0,94402.0,1.2129484377435584,5.442096126184217,0.29487315811011544
01-0414441,2010,2011,"""9""","""""",965773.0,9034.0,940.0,5683.0,981430.0,223157.0,742616.0,9034.0,940.0,0.0,0.0,5683.0,857771.0,521874.0,335897.0,0.0,123659.0,1.596186697525762,2.5447991849036344,0.266027824315285
01-0414441,2011,2012,"""9""","""""",868475.0,5876.0,303.0,3297.0,877951.0,50403.0,818072.0,5876.0,303.0,0.0,0.0,3297.0,856418.0,476394.0,378403.0,1621.0,21533.0,1.276672970861032,3.317140513640393,0.28109503174676737
01-0414441,2012,2013,"""9""","""""",900065.0,5794.0,416.0,3882.0,910157.0,105360.0,794705.0,5794.0,416.0,0.0,0.0,3882.0,915260.0,556766.0,357156.0,1338.0,-5103.0,1.8070594782807239,3.4944515924291917,0.27556594265187695
01-0414441,2013,2014,"""9""","""""",956089.0,10339.0,399.0,0.0,966827.0,92859.0,863230.0,10339.0,399.0,0.0,0.0,0.0,936913.0,553713.0,382221.0,979.0,29914.0,2.659480062779528,3.049370090193297,0.27098887684814965
01-0414441,2014,2015,"""9""","""""",1006816.0,10125.0,449.0,0.0,1017390.0,42177.0,964639.0,10125.0,449.0,0.0,0.0,0.0,1040382.0,614440.0,419620.0,6322.0,-22992.0,1.3075594201229432,7.6983450935520095,0.2854643790711304
01-0414441,2015,2016,"""9""","""""",1524513.0,13196.0,613.0,0.0,1538322.0,335992.0,1188521.0,13196.0,613.0,0.0,0.0,0.0,1426602.0,981835.0,441487.0,3280.0,111720.0,1.4559260453493326,4.394173691535257,0.26732884777411103
01-0414441,2016,2017,"""9""","""""",1776157.0,10357.0,654.0,4062.0,1791230.0,367855.0,1408302.0,10357.0,654.0,0.0,0.0,4062.0,1723476.0,1072271.0,642143.0,9062.0,67754.0,1.4768096556443837,2.746690483852888,0.24025444701933302
01-0414441,2017,2018,"""9""","""""",1550256.0,5204.0,1142.0,6915.0,1563517.0,308846.0,1241410.0,5204.0,1142.0,0.0,0.0,6915.0,1727602.0,1141527.0,582362.0,3713.0,-164085.0,1.2606627794927074,2.785350075600019,0.33784163497742725
01-0414441,2018,2019,"""9""","""""",1743683.0,4378.0,1839.0,3873.0,1753773.0,285154.0,1458529.0,4378.0,1839.0,0.0,0.0,3873.0,1802924.0,1182688.0,620202.0,34.0,-49151.0,1.3321894274778958,1.9644067329678503,0.38186871843446596
01-0414441,2019,2020,"""9""","""""",1907982.0,1707.0,2188.0,2862.0,1914739.0,0.0,1907982.0,1707.0,2188.0,0.0,0.0,2862.0,1742148.0,1129690.0,611932.0,526.0,172591.0,2.5164942274113264,3.372074984462549,0.3680145944249722
06-0883545,2008,2009,"""9""","""""",7091651.0,5728944.0,0.0,0.0,12820595.0,79120.0,7012531.0,5728944.0,0.0,0.0,0.0,0.0,13085878.0,10255481.0,2810882.0,19515.0,-265283.0,0.3294937416831508,0.18127491752741437,0.2281362406718189
06-0883545,2009,2010,"""9""","""""",7956359.0,5371473.0,4244.0,0.0,13332076.0,376981.0,7579378.0,5371473.0,4244.0,0.0,0.0,0.0,13256222.0,10227617.0,3011472.0,17133.0,75854.0,0.22346482863836975,0.05299167129057803,93.77840605763468
06-0883545,2010,2011,"""9""","""""",7643151.0,6095563.0,0.0,0.0,13738714.0,895335.0,6747816.0,6095563.0,0.0,0.0,0.0,0.0,14033017.0,10782908.0,3231520.0,18589.0,-294303.0,0.26815461569380555,0.07299664488531325,0.21026750147077422
06-0883545,2011,2012,"""9""","""""",8161631.0,7331836.0,1255.0,0.0,15494722.0,1061520.0,7100111.0,7331836.0,1255.0,0.0,0.0,0.0,14507726.0,11032109.0,3456920.0,18697.0,986996.0,0.47711564044413934,0.8282297888495495,0.17915522618024166
06-0883545,2012,2013,"""9""","""""",8672941.0,5954712.0,1244.0,0.0,14628897.0,887511.0,7785430.0,5954712.0,1244.0,0.0,0.0,0.0,15191559.0,11803750.0,3370220.0,17589.0,-562662.0,0.2874681762527519,0.21429319909098382,0.20458973280933307
06-0883545,2013,2014,"""9""","""""",8444454.0,6475499.0,565.0,0.0,14920518.0,1096379.0,7348075.0,6475499.0,565.0,0.0,0.0,0.0,14866420.0,11701967.0,3121333.0,43120.0,54098.0,0.6261855591103278,0.6290777315479201,0.19359963089493987
06-0883545,2014,2015,"""9""","""""",9669253.0,7466888.0,2133.0,0.0,17138274.0,1108127.0,8561126.0,7466888.0,2133.0,0.0,0.0,0.0,16456855.0,12899106.0,3510719.0,47030.0,681419.0,0.788864825932741,0.9317382168925382,0.18473840329659627
06-0883545,2015,2016,"""9""","""""",11008300.0,8700830.0,1402.0,0.0,19710532.0,1273288.0,9735012.0,8700830.0,1402.0,0.0,0.0,0.0,17510981.0,13829977.0,3662888.0,18116.0,2199551.0,0.961528777600538,0.7410513482607834,0.16983303770801836
06-0883545,2016,2017,"""9""","""""",11501897.0,9129715.0,2714.0,0.0,20634326.0,758286.0,10743611.0,9129715.0,2714.0,0.0,0.0,0.0,20424930.0,16258626.0,4113439.0,52865.0,209396.0,1.3448145675681276,1.4588390185062223,0.17379370882830733
06-0883545,2017,2018,"""9""","""""",11953218.0,10144224.0,5644.0,0.0,22103086.0,0.0,11953218.0,10144224.0,5644.0,0.0,0.0,0.0,21644384.0,16635700.0,4964654.0,44030.0,458702.0,1.4852558913586702,1.4509530225792457,0.19233098411965702
06-0883545,2018,2019,"""9""","""""",13067206.0,9789619.0,17004.0,0.0,22873829.0,0.0,13067206.0,9789619.0,17004.0,0.0,0.0,0.0,22090752.0,16586543.0,5471645.0,32564.0,783077.0,1.796578464386532,2.048268443558956,0.1982055233266913
06-0883545,2019,2020,"""9""","""""",17655757.0,9832745.0,65312.0,66643.0,27620457.0,499603.0,17156154.0,9832745.0,65312.0,0.0,0.0,66643.0,24255473.0,17940667.0,6275357.0,39449.0,3364984.0,1.0703075225493395,3.160214619521721,0.2012050483769046
06-0870990,2008,2009,"""9""","""""",16139011.0,28102331.0,135478.0,629660.0,45006480.0,0.0,16139011.0,28102331.0,54725.0,80753.0,0.0,629660.0,40991724.0,33144982.0,7846742.0,0.0,4014756.0,0.5103222774961711,1.2420653845256335,0.021937726472748133
06-0870990,2009,2010,"""9""","""""",16526621.0,30021365.0,13294.0,266084.0,46827364.0,0.0,16526621.0,30021365.0,13294.0,0.0,0.0,266084.0,45425698.0,37863114.0,7562584.0,0.0,1401666.0,0.4944297171123407,1.237286575246077,0.019967466341507572
06-0870990,2010,2011,"""9""","""""",12565968.0,34555460.0,14020.0,236427.0,47371875.0,170100.0,12395868.0,34555460.0,14020.0,0.0,0.0,236427.0,47598917.0,36563191.0,11035726.0,0.0,-227042.0,0.5484477833432282,0.6787068792226509,0.0007984395297829921
06-0870990,2011,2012,"""9""","""""",12558575.0,31237453.0,6855.0,349035.0,44151918.0,130777.0,12427798.0,31237453.0,6855.0,0.0,0.0,349035.0,48609962.0,34616988.0,13992974.0,0.0,-4458044.0,0.2728579905625953,0.48498176688459055,0.007580734735147137
06-0870990,2012,2013,"""9""","""""",13383628.0,37352742.0,6358.0,315634.0,51058362.0,422726.0,12960902.0,37352742.0,6358.0,0.0,0.0,315634.0,50206488.0,36546742.0,13659746.0,0.0,851874.0,0.3493370490236855,0.7479911536509618,0.016248448365961954
06-0870990,2013,2014,"""9""","""""",11499837.0,39687603.0,18287.0,1193182.0,52398909.0,144890.0,11354947.0,39687603.0,18287.0,0.0,0.0,1193182.0,51637051.0,37216263.0,14406097.0,14691.0,761858.0,0.4689460835278557,1.029250278896941,0.25935684775605755
06-0870990,2014,2015,"""9""","""""",12000430.0,44364692.0,-41025.0,1717236.0,58041333.0,96501.0,11903929.0,44364692.0,-21734.0,-19291.0,0.0,1717236.0,59372552.0,44076286.0,15296266.0,0.0,-1331219.0,0.3693511247644102,0.5320350632692752,0.23777759213933178
06-0870990,2015,2016,"""9""","""""",11909818.0,41819275.0,-28456.0,1914754.0,55615391.0,283360.0,11626458.0,41819275.0,-28456.0,0.0,0.0,1914754.0,54233135.0,42570306.0,11662829.0,0.0,1382256.0,0.5523517770455638,1.1793089275964017,0.21173636077513636
06-0870990,2016,2017,"""9""","""""",12493886.0,42363252.0,15452.0,1666936.0,56539526.0,513741.0,11980145.0,42363252.0,8593.0,6859.0,0.0,1666936.0,55626029.0,42907670.0,12718359.0,0.0,913497.0,0.5989176273143981,1.5467979752804724,0.19637581482481445
06-0870990,2017,2018,"""9""","""""",13369651.0,43397033.0,32223.0,1967070.0,58765977.0,267103.0,13102548.0,43397033.0,17296.0,14927.0,0.0,1967070.0,57800294.0,44569987.0,13132946.0,97361.0,965683.0,0.7067642989455017,2.0249810530225796,0.18616529116326944
06-0870990,2018,2019,"""9""","""""",13992124.0,45965195.0,-44922.0,2534569.0,62446966.0,293241.0,13698883.0,45965195.0,15419.0,-60341.0,0.0,2534569.0,60903773.0,47191300.0,13621336.0,91137.0,1543193.0,0.6620625350264546,2.157111735259539,0.18317175503226601
06-0870990,2019,2020,"""9""","""""",13981765.0,45369069.0,1543467.0,3080416.0,63974717.0,432759.0,13549006.0,45369069.0,1543467.0,0.0,0.0,3080416.0,61256832.0,47106759.0,13988616.0,161457.0,2717885.0,0.7528984058459309,2.503092302667917,0.18842702750469756
23-7182584,2008,2009,"""9""","""""",2458071.0,7655794.0,57062.0,0.0,10170927.0,188891.0,2269180.0,7655794.0,33524.0,23538.0,0.0,0.0,10334660.0,8540461.0,1666636.0,127563.0,-163733.0,1.2094375212174489,2.376624680709661,0.2139960179437066
23-7182584,2009,2010,"""9""","""""",2859855.0,7790202.0,48072.0,0.0,10698129.0,110795.0,2749060.0,7790202.0,23636.0,24436.0,0.0,0.0,10186417.0,8528416.0,1594573.0,63428.0,511712.0,1.3899844809407789,1.7027180021142976,0.2062659183152417
23-7182584,2010,2011,"""9""","""""",8372500.0,8371564.0,11906.0,0.0,16755970.0,138941.0,8233559.0,8371564.0,11906.0,0.0,0.0,0.0,10303830.0,8623508.0,1594974.0,85348.0,6452140.0,1.1136714416187026,1.2913378034495295,0.21804321188024975
23-7182584,2011,2012,"""9""","""""",8557347.0,9488312.0,-2182467.0,0.0,15863192.0,421679.0,8135668.0,9488312.0,-2212563.0,30096.0,0.0,0.0,11753441.0,10003778.0,1598539.0,151124.0,4109751.0,1.6370341003706346,1.365263772592412,0.2148544144607389
23-7182584,2012,2013,"""9""","""""",3127973.0,11084807.0,-50406.0,0.0,14162374.0,772929.0,2355044.0,11084807.0,-72614.0,22208.0,0.0,0.0,13152483.0,11225302.0,1715430.0,211751.0,1009891.0,1.8231455222031774,3.1632876460952484,0.22757753285899532
23-7182584,2013,2014,"""9""","""""",2748651.0,12420639.0,93195.0,168445.0,15430930.0,366607.0,2382044.0,12420639.0,57601.0,35594.0,0.0,168445.0,14452235.0,12343896.0,1890499.0,217840.0,978695.0,4.3435333515846875,3.708692895397036,0.24165222697511077
23-7182584,2014,2015,"""9""","""""",4493480.0,14086498.0,26230.0,125361.0,18731569.0,1401103.0,3092377.0,14086498.0,26230.0,0.0,0.0,125361.0,16338507.0,14394485.0,1597862.0,346160.0,2393062.0,2.9484473351185554,4.921277826161616,0.24086346001141754
23-7182584,2015,2016,"""9""","""""",4261369.0,16113698.0,-23784.0,233782.0,20585065.0,693970.0,3567399.0,16113698.0,-23784.0,0.0,0.0,233782.0,19181595.0,17345454.0,1490681.0,345460.0,1403470.0,3.136665055132108,4.208775581848426,0.23206267607811562
23-7182584,2016,2017,"""9""","""""",4769101.0,20424051.0,17689.0,208630.0,25419471.0,855201.0,3913900.0,20424051.0,17689.0,0.0,0.0,208630.0,25729166.0,23242861.0,2323158.0,163147.0,-309695.0,1.8226842225941111,1.8044613241723741,0.21813059804511456
23-7182584,2017,2018,"""9""","""""",4751752.0,24137402.0,40194.0,256374.0,29185722.0,899566.0,3852186.0,24137402.0,34496.0,5698.0,0.0,256374.0,28298939.0,25660866.0,2505922.0,132151.0,886783.0,2.257928237418068,1.3102962142561874,0.19714719152510185
23-7182584,2018,2019,"""9""","""""",5000153.0,25256718.0,111348.0,231304.0,30599523.0,1098155.0,3901998.0,25256718.0,111348.0,0.0,0.0,231304.0,30215435.0,27209619.0,2801435.0,204381.0,384088.0,2.4537118422217694,1.8603368498828736,0.2234274045133684
23-7182584,2019,2020,"""9""","""""",6080743.0,25751502.0,59119.0,90843.0,31982207.0,1248194.0,4832549.0,25751502.0,59119.0,0.0,0.0,90843.0,31417643.0,28182897.0,3090713.0,144033.0,564564.0,1.9206692689014861,4.2769236669953,0.22534537427549287
23-7089746,2008,2009,"""9""","""""",3945270.0,4428437.0,51647.0,59650.0,8485004.0,3559680.0,385590.0,4428437.0,42058.0,9589.0,0.0,59650.0,8870421.0,6550976.0,2319445.0,0.0,-385417.0,1.8762636570606812,0.7322194854742443,0.28441421765510705
23-7089746,2009,2010,"""9""","""""",4723158.0,4687772.0,53222.0,20093.0,9484245.0,3209915.0,1513243.0,4687772.0,47085.0,6137.0,0.0,20093.0,8910560.0,6578224.0,2291784.0,40552.0,573685.0,2.078879099891565,0.8252816676568084,0.2649660270447923
23-7089746,2010,2011,"""9""","""""",4451945.0,5321857.0,90391.0,8837.0,9873030.0,3367363.0,1084582.0,5321857.0,61408.0,28983.0,0.0,8837.0,9452278.0,7356175.0,2096103.0,0.0,420752.0,1.8641139563195188,0.5164332552110653,0.3036011284266177
23-7089746,2011,2012,"""9""","""""",4483766.0,5356523.0,75650.0,13853.0,9929792.0,3390995.0,1092771.0,5356523.0,41852.0,33798.0,0.0,13853.0,9650758.0,7937674.0,1713084.0,0.0,279034.0,2.887965700061036,0.5931306922915944,0.3035798686734613
23-7089746,2012,2013,"""9""","""""",4822969.0,5487981.0,42835.0,14280.0,10368065.0,3743882.0,1079087.0,5487981.0,61772.0,-18937.0,0.0,14280.0,9998090.0,8088188.0,1909902.0,0.0,369975.0,2.8107057613568003,0.8654983025505266,0.3179244321547128
23-7089746,2013,2014,"""9""","""""",4541642.0,6283060.0,81091.0,400.0,10906193.0,3394146.0,1147496.0,6283060.0,99580.0,-18489.0,0.0,400.0,10788261.0,8457024.0,2331237.0,0.0,117932.0,1.163118218863773,0.6787398306027349,0.31549695045326204
23-7089746,2014,2015,"""9""","""""",5364463.0,6608556.0,7817.0,32431.0,12013267.0,2934015.0,2430448.0,6608556.0,22358.0,-14541.0,0.0,32431.0,11636587.0,9235413.0,2401174.0,0.0,376680.0,0.7927978373336045,1.3203741207553363,0.30552081371987894
23-7089746,2015,2016,"""9""","""""",6674780.0,7416980.0,-168728.0,36064.0,13959096.0,3536087.0,3138693.0,7416980.0,-144842.0,-23886.0,0.0,36064.0,14093394.0,11857070.0,2236324.0,0.0,-134298.0,1.1914261558907682,1.0970403854207484,0.3142051383927831
23-7089746,2016,2017,"""9""","""""",7171528.0,8232841.0,-25634.0,0.0,15378735.0,3583166.0,3588362.0,8232841.0,0.0,-25634.0,0.0,0.0,15181374.0,12986773.0,2194601.0,0.0,197361.0,1.264729903957721,1.272105031829744,0.3072375126719918
23-7089746,2017,2018,"""9""","""""",7428446.0,9661526.0,-12898.0,0.0,17077074.0,3845312.0,3583134.0,9661526.0,5718.0,-18616.0,0.0,0.0,16507020.0,13920389.0,2586631.0,0.0,570054.0,1.7692472800721446,2.0762158216832294,0.2857281810287572
23-7089746,2018,2019,"""9""","""""",7950681.0,11455738.0,-20443.0,0.0,19385976.0,4460908.0,3489773.0,11455738.0,16584.0,-37027.0,0.0,0.0,17901956.0,15275643.0,2626313.0,0.0,1484020.0,2.6823713132923155,2.1742726585630416,0.2721958305886122
23-7089746,2019,2020,"""9""","""""",9061933.0,10613748.0,-22448.0,0.0,19653233.0,4839610.0,4222323.0,10613748.0,6595.0,-29043.0,0.0,0.0,18584153.0,16081363.0,2502790.0,0.0,1069080.0,2.0687724263044105,4.83605550820624,0.2815422462080458
23-7100550,2008,2009,"""9""","""""",7393094.0,32155256.0,114564.0,16120.0,39679034.0,1018193.0,6374901.0,32155256.0,114564.0,0.0,0.0,16120.0,38868187.0,34213639.0,4654548.0,0.0,810847.0,0.8474609238516506,3.6647870883112748,0.20747592198140127
23-7100550,2009,2010,"""9""","""""",8404938.0,36206120.0,95090.0,10671.0,44716819.0,1399526.0,7005412.0,36206120.0,95090.0,0.0,0.0,10671.0,42713049.0,37603176.0,5109873.0,0.0,2003770.0,0.6516307296614614,2.2617113022437336,0.19747286418099733
23-7100550,2010,2011,"""9""","""""",7365358.0,41069840.0,14563.0,35875.0,48485636.0,1261580.0,6103778.0,41069840.0,14563.0,0.0,0.0,35875.0,47894676.0,42533708.0,5360968.0,0.0,590960.0,0.548134250435294,0.9523419379366991,0.2017872151187771
23-7100550,2011,2012,"""9""","""""",7340073.0,45591462.0,47564.0,82166.0,53061265.0,1573807.0,5766266.0,45591462.0,47564.0,0.0,0.0,82166.0,52116125.0,46631626.0,5484499.0,0.0,945140.0,0.6843169800128387,2.3882790639270093,0.2034494516418929
23-7100550,2012,2013,"""9""","""""",7268777.0,47971298.0,-3525.0,61946.0,55298496.0,1639291.0,5629486.0,47971298.0,-3525.0,0.0,0.0,61946.0,52732129.0,46756647.0,5975482.0,0.0,2566367.0,0.8148015031241859,3.047083691911626,0.20652794765744553
23-7100550,2013,2014,"""9""","""""",12008926.0,50764552.0,124147.0,90926.0,62988551.0,1213414.0,10795512.0,50764552.0,124147.0,0.0,0.0,90926.0,56829142.0,50516923.0,6312219.0,0.0,6159409.0,0.8745539500081083,3.2336498082928284,0.21089698855694322
23-7100550,2014,2015,"""9""","""""",9152716.0,53177864.0,130313.0,95227.0,62556120.0,792455.0,8360261.0,53177864.0,130313.0,0.0,0.0,95227.0,60396328.0,53835449.0,6560879.0,0.0,2159792.0,0.9927929216087984,3.2833532304107407,0.21935637293605081
23-7100550,2015,2016,"""9""","""""",10573121.0,56589602.0,78024.0,247146.0,67487893.0,1958688.0,8614433.0,56589602.0,155140.0,-77116.0,0.0,247146.0,65465554.0,58393531.0,7072023.0,0.0,2022339.0,0.8793371406565651,3.354115518791768,0.20801154412437656
23-7100550,2016,2017,"""9""","""""",9917697.0,57081106.0,214001.0,609102.0,67821906.0,1633549.0,8284148.0,57081106.0,214001.0,0.0,0.0,609102.0,68059300.0,60327757.0,7731543.0,0.0,-237394.0,0.9240404497821383,3.416296214826034,0.2121375998463198
23-7100550,2017,2018,"""9""","""""",10370441.0,60960111.0,228757.0,175497.0,71734806.0,1976968.0,8393473.0,60960111.0,228757.0,0.0,0.0,175497.0,71622501.0,63215552.0,8406949.0,0.0,112305.0,0.9599292545845253,3.2071789450367483,0.20845166817936367
23-7100550,2018,2019,"""9""","""""",10775799.0,67120416.0,225514.0,170038.0,78291767.0,2651519.0,8124280.0,67120416.0,225514.0,0.0,0.0,170038.0,79250325.0,72371792.0,6878533.0,0.0,-958558.0,0.888824985012005,2.3251565137947074,0.2069657719881049
23-7100550,2019,2020,"""9""","""""",13736028.0,65207067.0,202168.0,73598.0,79218861.0,5254212.0,8481816.0,65207067.0,202168.0,0.0,0.0,73598.0,77695625.0,69756941.0,7938684.0,0.0,1523236.0,0.9283496827294521,3.6205943688594195,0.2066099448044536
22-3158253,2008,2009,"""9""","""""",4428095.0,5820786.0,1292.0,21788.0,10271961.0,81867.0,4346228.0,5820786.0,1292.0,0.0,0.0,21788.0,9345974.0,7536103.0,1809871.0,0.0,925987.0,0.8574876014796387,1.251369926526575,0.23155094336983958
22-3158253,2009,2010,"""9""","""""",4768311.0,6541227.0,1086.0,9744.0,11320368.0,288806.0,4479505.0,6541227.0,1086.0,0.0,0.0,9744.0,10792798.0,8769992.0,2022806.0,0.0,527570.0,0.6280639758737978,0.5418364805618509,0.22630305082844768
22-3158253,2010,2011,"""9""","""""",7212749.0,7243076.0,352189.0,1127411.0,15935425.0,380096.0,6832653.0,7243076.0,352189.0,0.0,0.0,1127411.0,12906504.0,10007512.0,2898992.0,0.0,3028921.0,0.2747531439191967,1.894129367035635,0.25137386002692685
22-3158253,2011,2012,"""9""","""""",6760341.0,8404801.0,318839.0,1069004.0,16552985.0,575372.0,6184969.0,8404801.0,318839.0,0.0,0.0,1069004.0,15424548.0,12293129.0,3131419.0,0.0,1128437.0,0.14680506099214882,0.830975630591436,0.26278394951874495
22-3158253,2012,2013,"""9""","""""",6152966.0,10652836.0,369972.0,871433.0,18047207.0,439741.0,5713225.0,10652836.0,369972.0,0.0,0.0,871433.0,16700058.0,13627692.0,3072366.0,0.0,1347149.0,0.14594567305350603,0.582979187138231,0.2705627622151847
22-3158253,2013,2014,"""9""","""""",5888300.0,12445228.0,385405.0,325500.0,19044433.0,4242.0,5884058.0,12445228.0,385405.0,0.0,0.0,325500.0,17667203.0,14506166.0,3161037.0,0.0,1377230.0,0.18404253941307744,0.7544340978166919,0.2741364953326642
22-3158253,2014,2015,"""9""","""""",5403465.0,12798765.0,385750.0,333712.0,18921692.0,0.0,5403465.0,12798765.0,385750.0,0.0,0.0,333712.0,18689922.0,15083032.0,3606890.0,0.0,231770.0,0.22889759662857526,1.0414958342413194,0.27432690714112307
22-3158253,2015,2016,"""9""","""""",5820684.0,14367187.0,385035.0,188194.0,20761100.0,326501.0,5494183.0,14367187.0,385035.0,0.0,0.0,188194.0,20548739.0,16995185.0,3553554.0,0.0,212361.0,0.23769210881504144,0.8636919484115958,0.27910924428559863
22-3158253,2016,2017,"""9""","""""",6100938.0,14569041.0,387145.0,170724.0,21227848.0,429325.0,5671613.0,14569041.0,387145.0,0.0,0.0,170724.0,20140266.0,16502337.0,3613676.0,24253.0,1087582.0,0.34182385136649973,1.5858881711306838,0.2719974576635826
22-3158253,2017,2018,"""9""","""""",5997234.0,15274306.0,47299.0,-8727146.0,12591693.0,905655.0,5091579.0,15274306.0,47299.0,0.0,0.0,-8727146.0,20737033.0,17189337.0,3459298.0,88398.0,-8145340.0,0.5167010866760648,1.837716938742415,0.2676251254679442
22-3158253,2018,2019,"""9""","""""",6642045.0,17721419.0,-107051.0,135418.0,24391831.0,2301993.0,4340052.0,17721419.0,8436.0,-115487.0,0.0,135418.0,22149299.0,18354159.0,3795140.0,0.0,2242532.0,0.6492973901152543,2.399229533795059,0.27464956015254144
22-3158253,2019,2020,"""9""","""""",6518818.0,16874677.0,-7527.0,168326.0,23554294.0,1052786.0,5466032.0,16874677.0,-7527.0,0.0,0.0,168326.0,24328624.0,18919276.0,5409348.0,0.0,-774330.0,0.6510646919259594,3.6167028732110422,0.274841345192448
04-2161484,2008,2008,"""9""","""""",1506548.0,3714167.0,14727.0,15404.0,5250846.0,381738.0,1124810.0,3714167.0,14727.0,0.0,0.0,15404.0,5240516.0,4617623.0,600352.0,22541.0,10330.0,0.7778404467786079,1.8482828831725344,0.15101733798378855
04-2161484,2009,2009,"""9""","""""",1531020.0,4191234.0,9593.0,18901.0,5750748.0,374693.0,1156327.0,4191234.0,9593.0,0.0,0.0,18901.0,5551890.0,4915275.0,613145.0,23470.0,198858.0,0.9389460826954826,1.9254287223307387,0.1493803438817154
