"","EIN","Year","Assets","Liabilities"
"180","05-0258811",2009,6994036,4117645
"181","05-0258811",2010,8042457,4552149
"182","05-0258811",2011,8519700,4932100
"183","05-0258811",2012,8928086,4789192
"184","05-0258811",2013,9539963,4742628
"185","05-0258811",2014,10027838,4974302
"186","05-0258811",2015,10921243,5152467
"187","05-0258811",2016,12311845,5813961
"188","05-0258811",2017,12680859,5626175
"189","05-0258811",2018,12440108,5015498
"190","05-0258811",2019,12613568,4672321
"191","05-0258811",2020,16189648,6189483
"192","05-0258811",2021,19252872,5119810
"193","05-0258811",2022,20226768,4766679
"194","01-0452749",2009,1735802,576924
"195","01-0452749",2010,2105442,588025
"196","01-0452749",2011,2245284,561443
"197","01-0452749",2012,2412137,594176
"198","01-0452749",2013,2647725,768908
"199","01-0452749",2014,2649814,735395
"200","01-0452749",2015,2641819,719050
"201","01-0452749",2016,4028735,1387920
"202","01-0452749",2017,4277934,1477740
"203","01-0452749",2018,6224232,2327546
"204","01-0452749",2019,6740522,2790425
"205","01-0452749",2020,8090758,3805120
"206","01-0452749",2021,9170141,2813502
"207","01-0452749",2022,8902258,2095146
"208","01-0354589",2009,2039286,853978
"209","01-0354589",2010,2625467,841094
"210","01-0354589",2011,2484096,788521
"211","01-0354589",2012,2371994,631630
"212","01-0354589",2013,2314448,625839
"213","01-0354589",2014,2184740,660769
"214","01-0354589",2015,1963197,723637
"215","01-0354589",2016,2325405,663655
"216","01-0354589",2017,2606330,680607
"217","01-0354589",2018,2644142,659933
"218","01-0354589",2019,2795115,573774
"219","01-0354589",2020,3354845,1508692
"220","01-0354589",2021,4149264,596611
"221","01-0354589",2022,3870928,515970
"222","05-0368134",2009,20854373,5723846
"223","05-0368134",2010,23197564,6231673
"224","05-0368134",2011,36398144,17001318
"225","05-0368134",2012,45281873,18878842
"226","05-0368134",2013,56763431,28065591
"227","05-0368134",2014,54219321,27678816
"228","05-0368134",2015,57395601,22507862
"229","05-0368134",2016,61113754,21945112
"230","05-0368134",2017,63702805,21250324
"231","05-0368134",2018,66080196,21416858
"232","05-0368134",2019,76653344,24708757
"233","05-0368134",2020,81139584,28850918
"234","05-0368134",2021,92213963,35023569
"235","04-2510564",2009,41287102,7902883
"236","04-2510564",2010,41397145,7294867
"237","04-2510564",2011,43575309,7042838
"238","04-2510564",2012,46006359,6546141
"239","04-2510564",2013,49965094,6767885
"240","04-2510564",2014,51264483,5783454
"241","04-2510564",2015,57698821,8589145
"242","04-2510564",2016,63325241,9280575
"243","04-2510564",2017,72528503,10199867
"244","04-2510564",2018,87566135,16932884
"245","04-2510564",2019,89200857,14004985
"246","04-2510564",2020,92612367,14925751
"247","04-2510564",2021,98106829,19815006
"248","04-2510564",2022,76764883,12585298
"249","51-0199559",2009,9060484,2978516
"250","51-0199559",2010,10922725,3357168
"251","51-0199559",2012,11564258,3283495
"252","51-0199559",2013,13441396,4332189
"253","51-0199559",2014,13392934,2931372
"254","51-0199559",2015,13301887,2964090
"255","51-0199559",2016,13511476,3221721
"256","51-0199559",2017,15039707,3098661
"257","51-0199559",2018,15912445,2884947
"258","51-0199559",2019,16811978,2522736
"259","51-0199559",2020,17267497,2354680
"260","51-0199559",2021,26172620,7035526
"261","51-0199559",2022,28204455,2920317
"262","04-3165044",2009,20684135,14791047
"263","04-3165044",2010,22636384,15550228
"264","04-3165044",2011,22655187,14829147
"265","04-3165044",2012,31605259,16233855
"266","04-3165044",2013,32839501,14683928
"267","04-3165044",2014,32841932,11980073
"268","04-3165044",2015,32667952,12717056
"269","04-3165044",2016,36185253,14282922
"270","04-3165044",2017,36895875,14024489
"271","04-3165044",2018,31769669,15069772
"272","04-3165044",2019,34622566,17965022
"273","04-3165044",2020,34198164,17167556
"274","04-3165044",2021,39658697,19719181
"275","04-3165044",2022,45795172,16117548
"276","04-2501818",2009,24576250,3216998
"277","04-2501818",2010,28796562,2824793
"278","04-2501818",2011,34943702,3566329
"279","04-2501818",2012,40476996,4351922
"280","04-2501818",2013,44832416,4034852
"281","04-2501818",2014,51054539,4296939
"282","04-2501818",2015,57225575,4721365
"283","04-2501818",2016,65077785,4400438
"284","04-2501818",2017,72871276,3681037
"285","04-2501818",2018,81417238,4160495
"286","04-2501818",2019,89614890,4125483
"287","04-2501818",2020,98801084,5632609
"288","04-2501818",2021,111050889,5480688
"289","04-2501818",2022,128100399,7245218
"290","02-0458174",2009,4833409,2018116
"291","02-0458174",2010,5387805,2118523
"292","02-0458174",2011,4743590,1900581
"293","02-0458174",2012,4090786,1817905
"294","02-0458174",2013,4822101,2126717
"295","02-0458174",2014,4907163,2018956
"296","02-0458174",2015,6947738,2305847
"297","02-0458174",2016,7729238,2727553
"298","02-0458174",2017,8187882,4185285
"299","02-0458174",2018,8189415,4091868
"300","02-0458174",2019,8894645,3878840
"301","02-0458174",2020,10849640,5825073
"302","02-0458174",2021,11871670,4032666
"303","02-0458174",2022,10551699,3390871
"304","04-2485308",2009,8543082,2885131
"305","04-2485308",2010,8347237,3062052
"306","04-2485308",2011,7134992,2897141
"307","04-2485308",2012,6701437,2833357
"308","04-2485308",2013,7822340,2907658
"309","04-2485308",2014,12755751,5102730
"310","04-2485308",2015,13508068,4151535
"311","04-2485308",2016,13535708,3670196
"312","04-2485308",2017,12094088,3771261
"313","04-2485308",2018,12069487,3409142
"314","04-2485308",2019,12774658,3890493
"315","04-2485308",2020,21349121,10997042
"316","04-2485308",2021,12676950,7760734
"317","04-2485308",2022,10241959,7003135
"318","06-1023013",2009,9194148,6141385
"319","06-1023013",2010,9665076,5992650
"320","06-1023013",2011,10728694,6223591
"321","06-1023013",2012,15138168,7476769
"322","06-1023013",2013,19888848,10421193
"323","06-1023013",2014,19532747,9208408
"324","06-1023013",2015,19871940,9089717
"325","06-1023013",2016,18727716,8258083
"326","06-1023013",2017,18272504,8034619
"327","06-1023013",2018,18029076,8343717
"328","06-1023013",2019,17973170,8727735
"329","06-1023013",2020,25235727,12878887
"330","06-1023013",2021,31905699,11045131
"331","06-1023013",2022,30553535,8213092
"332","04-2513817",2009,20464658,7551706
"333","04-2513817",2010,20992743,7994889
"334","04-2513817",2011,30491001,14907188
"335","04-2513817",2012,36904744,16852167
"336","04-2513817",2013,37451756,16396199
"337","04-2513817",2014,37011138,15537557
"338","04-2513817",2015,36086237,15602326
"339","04-2513817",2016,35675426,15230133
"340","04-2513817",2017,35389618,14772513
"341","04-2513817",2018,37912246,14587352
"342","04-2513817",2019,38291341,14363221
"343","04-2513817",2020,39785704,18687152
"344","04-2513817",2021,41035086,17641349
"345","04-2513817",2022,47892741,16715293
"346","04-2620040",2009,3705991,1198207
"347","04-2620040",2010,4436509,1296267
"348","04-2620040",2011,4888877,1105258
"349","04-2620040",2012,5458884,1250505
"350","04-2620040",2013,18566212,11935432
"351","04-2620040",2014,18769974,9278871
"352","04-2620040",2015,18311898,9407214
"353","04-2620040",2016,18675772,9374530
"354","04-2620040",2017,18624931,9026254
"355","04-2620040",2018,19315229,8870039
"356","04-2620040",2019,20442143,9014621
"357","04-2620040",2020,25212049,10974244
"358","04-2620040",2021,25394160,9655240
"359","04-2620040",2022,29597276,9893671
"360","02-0350051",2009,2899361,1936408
"361","02-0350051",2010,3271243,1767760
"362","02-0350051",2011,3675928,1659153
"363","02-0350051",2012,4503072,2577856
"364","02-0350051",2013,3865467,1826956
"365","02-0350051",2014,4915079,1759673
"366","02-0350051",2015,5445033,1570727
"367","02-0350051",2016,6878015,1690395
"368","02-0350051",2017,7322352,1406945
"369","02-0350051",2018,7698350,1078639
"370","02-0350051",2019,9293797,1210039
"371","02-0350051",2020,15985290,7147282
"372","02-0350051",2021,17181637,6202008
"373","02-0350051",2022,19734526,7934886
"374","04-2610447",2009,5116876,1994315
"375","04-2610447",2010,5884992,1715481
"376","04-2610447",2011,5448832,1753206
"377","04-2610447",2012,6933051,1439105
"378","04-2610447",2013,6315762,2073212
"379","04-2610447",2014,6250266,2652805
"380","04-2610447",2015,5656575,2709079
"381","04-2610447",2016,5400367,2049507
"382","04-2610447",2017,5603986,1844215
"383","04-2610447",2018,5381097,2383273
"384","04-2610447",2019,4463702,2953910
"385","04-2610447",2020,7335180,5137150
"386","04-2610447",2021,9734194,2939181
"387","04-2610447",2022,9388725,2108596
"388","51-0137745",2009,1833434,1351475
"389","51-0137745",2010,2216824,1294188
"390","51-0137745",2011,5175533,1607199
"391","51-0137745",2012,5061195,1456829
"392","51-0137745",2013,4985513,1401636
"393","51-0137745",2014,5537331,1864094
"394","51-0137745",2015,6451057,2431507
"395","51-0137745",2016,6788237,2336464
"396","51-0137745",2017,6716817,2345577
"397","51-0137745",2018,7246148,2472256
"398","51-0137745",2019,7284303,2422581
"399","51-0137745",2020,9909677,4621989
"400","51-0137745",2021,9798084,2726032
"401","51-0137745",2022,10056023,1864362
"402","04-2509828",2009,2324727,973662
"403","04-2509828",2010,2958836,1692407
"404","04-2509828",2011,3907058,2866651
"405","04-2509828",2012,7128023,3909674
"406","04-2509828",2013,8166364,4442011
"407","04-2509828",2014,8456889,4452642
"408","04-2509828",2015,11153748,7203084
"409","04-2509828",2016,9795228,7090314
"410","04-2509828",2017,9551900,6864285
"411","04-2509828",2018,10311412,7516067
"412","04-2509828",2019,18130156,12238313
"413","04-2509828",2020,20977699,14776358
"414","04-2509828",2021,20040570,12680781
"415","04-2509828",2022,21297877,10620792
"416","04-3160480",2009,52883132,3431376
"417","04-3160480",2010,54196892,4100129
"418","04-3160480",2011,57209040,4344528
"419","04-3160480",2012,58124583,4804704
"420","04-3160480",2013,58478858,3834125
"421","04-3160480",2014,63223835,4262628
"422","04-3160480",2015,69858209,5065592
"423","04-3160480",2016,69892716,5483866
"424","04-3160480",2017,73724927,6695676
"425","04-3160480",2018,75726330,7681225
"426","04-3160480",2019,76498143,7693832
"427","04-3160480",2020,81650316,8638862
"428","04-3160480",2021,83531739,6816436
"429","04-3160480",2022,83154509,8531858
"430","20-0999212",2008,422291,483791
"431","20-0999212",2009,934944,695189
"432","20-0999212",2010,1921522,1100955
"433","20-0999212",2011,1936860,1095505
"434","20-0999212",2012,2876624,1212717
"435","20-0999212",2013,3307252,1118635
"436","20-0999212",2014,3091823,937945
"437","20-0999212",2015,3941396,1027838
"438","20-0999212",2016,4184656,752275
"439","20-0999212",2017,2976804,863202
"440","20-0999212",2018,2773867,942515
"441","20-0999212",2019,2707833,845551
"442","20-0999212",2020,2959451,1107890
"443","20-0999212",2021,0,0
"444","05-6018801",2009,4697255,2654648
"445","05-6018801",2010,5349793,2315983
"446","05-6018801",2011,6279174,2596077
"447","05-6018801",2012,6934373,2775170
"448","05-6018801",2013,6541056,2773158
"449","05-6018801",2014,7276799,2749517
"450","05-6018801",2015,8357088,2185038
"451","05-6018801",2016,10243838,1604427
"452","05-6018801",2017,11431177,1440491
"453","05-6018801",2018,13520399,2266082
"454","05-6018801",2019,14924512,2151888
"455","05-6018801",2020,18309446,2975111
"456","05-6018801",2021,21696209,2065066
"457","05-6018801",2022,24508311,3141726
"458","16-1678092",2008,940417,732928
"459","16-1678092",2009,1686688,1014404
"460","16-1678092",2010,1673449,979564
"461","16-1678092",2011,2109280,676912
"462","16-1678092",2012,2298217,859841
"463","16-1678092",2013,2553574,1115628
"464","16-1678092",2014,2316628,1039645
"465","16-1678092",2015,3110717,1241111
"466","16-1678092",2016,4171365,2096764
"467","16-1678092",2017,4520914,1866417
"468","16-1678092",2018,3845279,1001712
"469","16-1678092",2019,3732206,966510
"470","16-1678092",2020,4801802,1267921
"471","16-1678092",2021,4989916,1653462
"472","22-1179701",2009,3041710,1801440
"473","22-1179701",2010,4199572,2218495
"474","22-1179701",2011,7018918,4856976
"475","22-1179701",2012,7866123,4750129
"476","22-1179701",2013,9852896,5641849
"477","22-1179701",2014,12070186,4795964
"478","22-1179701",2015,17894050,5610298
"479","22-1179701",2016,19632430,5647177
"480","22-1179701",2017,19991033,5462694
"481","22-1179701",2018,22811636,4963681
"482","22-1179701",2019,27105100,5088807
"483","22-1179701",2020,38770795,9275049
"484","22-1179701",2021,43165841,5034323
"485","01-0347381",2009,1158050,685296
"486","01-0347381",2010,1436709,601673
"487","01-0347381",2011,2199187,853759
"488","01-0347381",2012,2164556,694187
"489","01-0347381",2013,2416015,813678
"490","01-0347381",2014,2730860,761374
"491","01-0347381",2015,3187649,693628
"492","01-0347381",2016,3598243,762452
"493","01-0347381",2017,3665092,706697
"494","01-0347381",2018,3695091,810572
"495","01-0347381",2019,4254728,816737
"496","01-0347381",2020,5209099,1161211
"497","01-0347381",2021,5916068,796735
"498","01-0347381",2022,5533152,742939
"499","06-0863942",2008,12624238,2193477
"500","06-0863942",2009,12888071,2306765
"501","06-0863942",2010,14021894,1833704
"502","06-0863942",2011,18588181,1785254
"503","06-0863942",2012,20446737,2123437
"504","06-0863942",2013,18591617,2089151
"505","06-0863942",2014,17936788,1699376
"506","06-0863942",2015,18135824,1683764
"507","06-0863942",2016,18250119,1665099
"508","06-0863942",2017,16949933,1723585
"509","06-0863942",2018,16052031,1563610
"510","06-0863942",2019,14933118,1666528
"511","06-0863942",2020,15210105,2447513
"512","06-0863942",2021,18052778,2923611
"513","06-0972166",2009,18880222,6559353
"514","06-0972166",2010,19111804,6711532
"515","06-0972166",2011,18150802,7528360
"516","06-0972166",2012,18229441,6955701
"517","06-0972166",2013,19631041,8934699
"518","06-0972166",2014,18846456,8078064
"519","06-0972166",2016,21500786,8150875
"520","06-0972166",2017,20060611,7514089
"521","06-0972166",2018,19358750,6703734
"522","06-0972166",2019,22809768,10501353
"523","06-0972166",2020,24883951,12481656
"524","06-0972166",2021,28924090,14151575
"525","06-0972166",2022,30877865,13333409
"526","04-2525066",2009,11511756,4580409
"527","04-2525066",2010,15920469,4743586
"528","04-2525066",2011,23323511,10053750
"529","04-2525066",2012,27088614,10134444
"530","04-2525066",2013,29042383,10439788
"531","04-2525066",2014,31895363,11027019
"532","04-2525066",2015,35297730,11951449
"533","04-2525066",2016,36840982,10957963
"534","04-2525066",2017,38245971,10662574
"535","04-2525066",2018,28992521,10604377
"536","04-2525066",2019,32465908,11710842
"537","04-2525066",2020,37031099,12552799
"538","04-2525066",2021,52592641,20056136
"539","04-2525066",2022,60470408,21100700
"540","03-0240129",2009,6113343,2954750
"541","03-0240129",2010,6846442,2829444
"542","03-0240129",2011,6928757,2731983
"543","03-0240129",2012,8751840,3300013
"544","03-0240129",2013,8198764,3023528
"545","03-0240129",2014,7609440,2918412
"546","03-0240129",2015,7828797,2716689
"547","03-0240129",2016,8525898,2343866
"548","03-0240129",2017,8832814,2176930
"549","03-0240129",2018,8842178,2123331
"550","03-0240129",2019,8641538,2113910
"551","03-0240129",2020,9918383,4503187
"552","03-0240129",2021,11601254,2155899
"553","03-0240129",2022,12139517,1897267
"554","04-3370560",2009,6413739,457774
"555","04-3370560",2010,6805836,370800
"556","04-3370560",2011,7094276,566073
"557","04-3370560",2012,13076712,2105018
"558","04-3370560",2013,14982937,1310279
"559","04-3370560",2014,14779187,715708
"560","04-3370560",2015,14335951,923638
"561","04-3370560",2016,15517060,710220
"562","04-3370560",2017,17046579,942365
"563","04-3370560",2018,16100012,695569
"564","04-3370560",2019,16250635,1417831
"565","04-3370560",2020,18908636,2764090
"566","04-3370560",2021,19804494,1867839
"567","04-3370560",2022,21338506,1350415
"568","04-2507409",2009,11723870,3607824
"569","04-2507409",2010,9572059,2530503
"570","04-2507409",2011,8016079,2091828
"571","04-2507409",2012,10311596,3658622
"572","04-2507409",2013,8104913,3345015
"573","04-2507409",2014,7240121,3074420
"574","04-2507409",2015,7202303,2117233
"575","04-2507409",2016,8039527,2635880
"576","04-2507409",2017,10760123,3410864
"577","04-2507409",2018,16658026,3686236
"578","04-2507409",2019,22196817,3577080
"579","04-2507409",2020,23034856,4324060
"580","04-2507409",2021,29437679,4304936
"581","04-2507409",2022,23902943,5321164
"582","04-2881348",2009,6146230,3541057
"583","04-2881348",2010,7463979,3186333
"584","04-2881348",2011,28601433,23093572
"585","04-2881348",2012,33941714,17547475
"586","04-2881348",2013,40803292,18919289
"587","04-2881348",2014,39831966,15455937
"588","04-2881348",2015,39810990,15425088
"589","04-2881348",2016,56959070,33212847
"590","04-2881348",2017,56230385,31974555
"591","04-2881348",2018,60360704,30940762
"592","04-2881348",2019,68008326,28948876
"593","04-2881348",2020,81928693,39020178
"594","04-2881348",2021,88154778,38244427
"595","01-0376890",2008,6466487,1534952
"596","01-0376890",2009,6154164,1029395
"597","01-0376890",2010,5022043,1272344
"598","01-0376890",2011,6148962,1516245
"599","01-0376890",2012,6522927,1582931
"600","01-0376890",2013,6904474,1675885
"601","01-0376890",2014,6769611,1737408
"602","01-0376890",2015,7346696,1357872
"603","01-0376890",2016,7149180,1196197
"604","01-0376890",2017,5452030,1290377
"605","01-0376890",2018,5580057,1360139
"606","01-0376890",2019,6259255,1439460
"607","01-0376890",2020,7947806,3318643
"608","01-0376890",2021,7660342,2012779
"609","23-7305106",2009,9219449,5699199
"610","23-7305106",2010,8893350,4642038
"611","23-7305106",2011,12599759,5533103
"612","23-7305106",2012,12290267,5322316
"613","23-7305106",2013,12790947,5318620
"614","23-7305106",2014,13283870,5795461
"615","23-7305106",2015,14673768,6521107
"616","23-7305106",2016,11438129,2452649
"617","23-7305106",2017,11432412,2684822
"618","23-7305106",2018,11129403,2737102
"619","23-7305106",2019,11152292,2935501
"620","23-7305106",2020,13511466,4394719
"621","23-7305106",2021,14822955,4418600
"622","04-2646695",2009,6239808,5042355
"623","04-2646695",2010,6108496,5052331
"624","04-2646695",2011,6905912,5104260
"625","04-2646695",2012,7428079,5516734
"626","04-2646695",2013,9400759,5328925
"627","04-2646695",2014,12819118,6091411
"628","04-2646695",2015,12522524,5588983
"629","04-2646695",2016,12160604,5215108
"630","04-2646695",2017,11916169,5897620
"631","04-2646695",2018,12452592,6053510
"632","04-2646695",2019,13462376,6055377
"633","04-2646695",2020,18050290,7787309
"634","04-2646695",2021,20615590,7331911
"635","04-2646695",2022,26666253,8353642
"636","04-3373741",2009,1111334,347281
"637","04-3373741",2010,1150049,343226
"638","04-3373741",2011,4357303,3007721
"639","04-3373741",2012,4270044,3094031
"640","04-3373741",2013,3887569,2977212
"641","04-3373741",2014,3677274,3005864
"642","04-3373741",2015,4108545,3017870
"643","04-3373741",2016,4750510,3101559
"644","04-3373741",2017,5527330,3348758
"645","04-3373741",2018,6195221,3743850
"646","04-3373741",2019,6104101,3620569
"647","04-3373741",2020,7864028,4522166
"648","04-3373741",2021,8678167,3906710
"649","04-3373741",2022,8577298,3709834
"650","05-0355097",2009,12887155,6355842
"651","05-0355097",2010,18072391,7976649
"652","05-0355097",2011,18564180,6229841
"653","05-0355097",2012,19205017,6423551
"654","05-0355097",2013,20114766,5602819
"655","05-0355097",2014,26209433,7064071
"656","05-0355097",2015,31216252,7786642
"657","05-0355097",2016,33612969,8920897
"658","05-0355097",2017,36141770,11142318
"659","05-0355097",2018,40260583,13421117
"660","05-0355097",2019,45285339,16706329
"661","05-0355097",2020,51867089,20411322
"662","05-0355097",2021,55440960,21118600
"663","05-0355097",2022,60584911,23363242
"664","06-0986747",2009,18343657,2456425
"665","06-0986747",2010,18600831,1377292
"666","06-0986747",2011,27838355,1794330
"667","06-0986747",2012,24973221,10849949
"668","06-0986747",2013,23226818,11541437
"669","06-0986747",2014,23057719,13559580
"670","06-0986747",2015,20722652,13157077
"671","06-0986747",2016,20413341,12682965
"672","06-0986747",2017,21176541,12183380
"673","06-0986747",2018,22125925,11707186
"674","06-0986747",2019,22986392,3760439
"675","06-0986747",2020,26296928,5748683
"676","06-0986747",2021,28788098,3716684
"677","06-0986747",2022,28914563,3321932
"678","23-7221597",2009,7291412,1536828
"679","23-7221597",2010,7420684,1402025
"680","23-7221597",2011,8001372,1491879
"681","23-7221597",2012,8442052,1342799
"682","23-7221597",2013,9163236,1562033
"683","23-7221597",2014,26522556,17656686
"684","23-7221597",2015,27080469,13793687
"685","23-7221597",2016,27066713,12313656
"686","23-7221597",2017,26604008,11607245
"687","23-7221597",2018,30162864,13708833
"688","23-7221597",2019,30107894,13136320
"689","23-7221597",2020,31839029,14282695
"690","23-7221597",2021,16986120,12845123
"691","23-7221597",2022,15877449,11969473
"692","04-2675800",2009,9625952,3979451
"693","04-2675800",2010,12089000,3575562
"694","04-2675800",2011,14703539,3624514
"695","04-2675800",2012,15867373,3728798
"696","04-2675800",2013,16080568,3882326
"697","04-2675800",2014,17253712,4693309
"698","04-2675800",2015,18795454,4696862
"699","04-2675800",2016,20524639,5173026
"700","04-2675800",2017,20005878,5305850
"701","04-2675800",2018,18438616,5205522
"702","04-2675800",2019,19304231,5679406
"703","04-2675800",2020,24238694,9882112
