"","EIN","Year","Staff"
"101","22-3158253","2020","272"
"102","22-3158253","2021","279"
"103","04-2161484","2008","112"
"104","04-2161484","2009","105"
"105","04-2161484","2010","106"
"106","04-2161484","2011","105"
"107","04-2161484","2012","102"
"108","04-2161484","2013","106"
"109","04-2161484","2014","111"
"110","04-2161484","2015","124"
"111","04-2161484","2016","124"
"112","04-2161484","2017","133"
"113","04-2161484","2018","147"
"114","04-2161484","2019","155"
"115","23-7335894","2009","55"
"116","23-7335894","2010","53"
"117","23-7335894","2011","54"
"118","23-7335894","2012","52"
"119","23-7335894","2013","55"
"120","23-7335894","2014","66"
"121","23-7335894","2015","68"
"122","23-7335894","2016","78"
"123","23-7335894","2017","74"
"124","23-7335894","2018","85"
"125","23-7335894","2019","93"
"126","23-7335894","2020","104"
"127","23-7335894","2021","112"
"128","23-7335894","2022","115"
"129","23-7146768","2009","175"
"130","23-7146768","2010","147"
"131","23-7146768","2011","94"
"132","23-7146768","2012","90"
"133","23-7146768","2013","77"
"134","23-7146768","2014","69"
"135","23-7146768","2015","61"
"136","23-7146768","2016","77"
"137","23-7146768","2017","68"
"138","23-7146768","2018","64"
"139","23-7146768","2018","60"
"140","23-7146768","2019","67"
"141","23-7146768","2020","77"
"142","01-6012835","2008","16"
"143","01-6012835","2009","14"
"144","01-6012835","2010","14"
"145","01-6012835","2011","19"
"146","01-6012835","2012","27"
"147","01-6012835","2013","25"
"148","01-6012835","2014","26"
"149","01-6012835","2015","29"
"150","01-6012835","2016","32"
"151","01-6012835","2017","32"
"152","01-6012835","2018","41"
"153","01-6012835","2019","41"
"154","01-6023664","2008","265"
"155","01-6023664","2009","242"
"156","01-6023664","2010","256"
"157","01-6023664","2011","251"
"158","01-6023664","2012","271"
"159","01-6023664","2013","277"
"160","01-6023664","2014","271"
"161","01-6023664","2015","292"
"162","01-6023664","2016","311"
"163","01-6023664","2017","309"
"164","01-6023664","2018","257"
"165","01-6023664","2019","320"
"166","01-6023664","2020","308"
"167","01-6023664","2021","295"
"168","05-0258811","2009","88"
"169","05-0258811","2010","98"
"170","05-0258811","2011","121"
"171","05-0258811","2012","119"
"172","05-0258811","2013","113"
"173","05-0258811","2014","124"
"174","05-0258811","2015","119"
"175","05-0258811","2016","133"
"176","05-0258811","2017","148"
"177","05-0258811","2018","156"
"178","05-0258811","2019","153"
"179","05-0258811","2020","159"
"180","01-0452749","2009","31"
"181","01-0452749","2010","31"
"182","01-0452749","2011","37"
"183","01-0452749","2012","35"
"184","01-0452749","2013","45"
"185","01-0452749","2014","46"
"186","01-0452749","2015","48"
"187","01-0452749","2016","57"
"188","01-0452749","2017","59"
"189","01-0452749","2018","69"
"190","01-0452749","2019","75"
"191","01-0452749","2020","83"
"192","01-0452749","2021","96"
"193","01-0452749","2022","89"
"194","01-0354589","2009","52"
"195","01-0354589","2010","60"
"196","01-0354589","2011","59"
"197","01-0354589","2012","63"
"198","01-0354589","2013","63"
"199","01-0354589","2014","56"
"200","01-0354589","2015","57"
"201","01-0354589","2016","59"
"202","01-0354589","2017","60"
"203","01-0354589","2018","66"
"204","01-0354589","2019","68"
"205","01-0354589","2020","68"
"206","01-0354589","2021","69"
"207","05-0368134","2009","335"
"208","05-0368134","2010","339"
"209","05-0368134","2011","353"
"210","05-0368134","2012","352"
"211","05-0368134","2013","356"
"212","05-0368134","2014","383"
"213","05-0368134","2015","409"
"214","05-0368134","2016","457"
"215","05-0368134","2017","506"
"216","05-0368134","2018","557"
"217","05-0368134","2019","614"
"218","05-0368134","2020","663"
"219","04-2510564","2009","274"
"220","04-2510564","2010","300"
"221","04-2510564","2011","343"
"222","04-2510564","2012","408"
"223","04-2510564","2013","458"
"224","04-2510564","2014","528"
"225","04-2510564","2015","532"
"226","04-2510564","2016","551"
"227","04-2510564","2017","572"
"228","04-2510564","2018","584"
"229","04-2510564","2019","425"
"230","04-2510564","2020","929"
"231","04-2510564","2021","876"
"232","51-0199559","2009","326"
"233","51-0199559","2010","307"
"234","51-0199559","2012","305"
"235","51-0199559","2013","290"
"236","51-0199559","2014","292"
"237","51-0199559","2015","351"
"238","51-0199559","2016","357"
"239","51-0199559","2017","354"
"240","51-0199559","2018","361"
"241","51-0199559","2019","421"
"242","51-0199559","2020","376"
"243","51-0199559","2021","459"
"244","51-0199559","2022","528"
"245","04-3165044","2009","242"
"246","04-3165044","2010","264"
"247","04-3165044","2011","289"
"248","04-3165044","2012","352"
"249","04-3165044","2013","399"
"250","04-3165044","2014","459"
"251","04-3165044","2015","459"
"252","04-3165044","2016","523"
"253","04-3165044","2017","577"
"254","04-3165044","2018","605"
"255","04-3165044","2019","655"
"256","04-3165044","2020","700"
"257","04-3165044","2021","750"
"258","04-2501818","2009","244"
"259","04-2501818","2010","236"
"260","04-2501818","2011","244"
"261","04-2501818","2012","242"
"262","04-2501818","2013","259"
"263","04-2501818","2014","267"
"264","04-2501818","2015","270"
"265","04-2501818","2016","284"
"266","04-2501818","2017","266"
"267","04-2501818","2018","285"
"268","04-2501818","2019","304"
"269","04-2501818","2020","314"
"270","04-2501818","2021","282"
"271","02-0458174","2009","78"
"272","02-0458174","2010","73"
"273","02-0458174","2011","77"
"274","02-0458174","2012","76"
"275","02-0458174","2013","92"
"276","02-0458174","2014","110"
"277","02-0458174","2015","184"
"278","02-0458174","2016","230"
"279","02-0458174","2017","274"
"280","02-0458174","2018","273"
"281","02-0458174","2019","273"
"282","02-0458174","2020","289"
"283","02-0458174","2021","305"
"284","04-2485308","2009","367"
"285","04-2485308","2010","373"
"286","04-2485308","2011","370"
"287","04-2485308","2012","362"
"288","04-2485308","2013","354"
"289","04-2485308","2014","449"
"290","04-2485308","2015","562"
"291","04-2485308","2016","667"
"292","04-2485308","2017","483"
"293","04-2485308","2018","544"
"294","04-2485308","2019","512"
"295","04-2485308","2020","0"
"296","04-2485308","2021","64"
"297","06-1023013","2009","185"
"298","06-1023013","2010","182"
"299","06-1023013","2011","222"
"300","06-1023013","2012","238"
"301","06-1023013","2013","264"
"302","06-1023013","2014","280"
"303","06-1023013","2015","291"
"304","06-1023013","2016","291"
"305","06-1023013","2017","289"
"306","06-1023013","2018","282"
"307","06-1023013","2019","314"
"308","06-1023013","2020","314"
"309","06-1023013","2021","316"
"310","04-2513817","2009","425"
"311","04-2513817","2010","407"
"312","04-2513817","2011","399"
"313","04-2513817","2012","430"
"314","04-2513817","2013","406"
"315","04-2513817","2014","402"
"316","04-2513817","2015","439"
"317","04-2513817","2016","445"
"318","04-2513817","2017","443"
"319","04-2513817","2018","423"
"320","04-2513817","2019","454"
"321","04-2513817","2020","454"
"322","04-2513817","2021","467"
"323","04-2620040","2009","193"
"324","04-2620040","2010","176"
"325","04-2620040","2011","183"
"326","04-2620040","2012","173"
"327","04-2620040","2013","201"
"328","04-2620040","2014","201"
"329","04-2620040","2015","229"
"330","04-2620040","2016","284"
"331","04-2620040","2017","306"
"332","04-2620040","2018","314"
"333","04-2620040","2019","329"
"334","04-2620040","2020","325"
"335","04-2620040","2021","320"
"336","02-0350051","2009","151"
"337","02-0350051","2010","143"
"338","02-0350051","2011","133"
"339","02-0350051","2012","131"
"340","02-0350051","2013","135"
"341","02-0350051","2014","135"
"342","02-0350051","2015","141"
"343","02-0350051","2016","140"
"344","02-0350051","2017","146"
"345","02-0350051","2018","162"
"346","02-0350051","2019","154"
"347","02-0350051","2020","157"
"348","04-2610447","2009","74"
"349","04-2610447","2010","89"
"350","04-2610447","2011","98"
"351","04-2610447","2012","95"
"352","04-2610447","2013","117"
"353","04-2610447","2014","130"
"354","04-2610447","2015","135"
"355","04-2610447","2016","148"
"356","04-2610447","2017","169"
"357","04-2610447","2018","177"
"358","04-2610447","2019","198"
"359","04-2610447","2020","193"
"360","04-2610447","2021","193"
"361","51-0137745","2009","104"
"362","51-0137745","2010","96"
"363","51-0137745","2011","97"
"364","51-0137745","2012","97"
"365","51-0137745","2013","94"
"366","51-0137745","2014","103"
"367","51-0137745","2015","111"
"368","51-0137745","2016","134"
"369","51-0137745","2017","142"
"370","51-0137745","2018","142"
"371","51-0137745","2019","109"
"372","51-0137745","2020","143"
"373","51-0137745","2021","165"
"374","04-2509828","2009","116"
"375","04-2509828","2010","113"
"376","04-2509828","2011","136"
"377","04-2509828","2012","154"
"378","04-2509828","2013","172"
"379","04-2509828","2014","188"
"380","04-2509828","2015","224"
"381","04-2509828","2016","252"
"382","04-2509828","2017","223"
"383","04-2509828","2018","221"
"384","04-2509828","2019","220"
"385","04-2509828","2020","224"
"386","04-2509828","2021","233"
"387","04-3160480","2009","421"
"388","04-3160480","2010","405"
"389","04-3160480","2011","435"
"390","04-3160480","2012","443"
"391","04-3160480","2013","467"
"392","04-3160480","2014","500"
"393","04-3160480","2015","531"
"394","04-3160480","2016","534"
"395","04-3160480","2017","574"
"396","04-3160480","2018","551"
"397","04-3160480","2019","593"
"398","04-3160480","2020","640"
"399","04-3160480","2021","731"
"400","20-0999212","2008","35"
"401","20-0999212","2009","35"
"402","20-0999212","2010","39"
"403","20-0999212","2011","36"
"404","20-0999212","2012","39"
"405","20-0999212","2013","43"
"406","20-0999212","2014","54"
"407","20-0999212","2015","67"
"408","20-0999212","2016","74"
"409","20-0999212","2017","90"
"410","20-0999212","2018","81"
"411","20-0999212","2019","76"
"412","20-0999212","2021","61"
"413","05-6018801","2009","256"
"414","05-6018801","2010","264"
"415","05-6018801","2011","492"
"416","05-6018801","2012","433"
"417","05-6018801","2013","455"
"418","05-6018801","2014","633"
"419","05-6018801","2015","578"
"420","05-6018801","2016","651"
"421","05-6018801","2017","707"
"422","05-6018801","2018","776"
"423","05-6018801","2019","776"
"424","05-6018801","2020","951"
"425","16-1678092","2008","58"
"426","16-1678092","2009","61"
"427","16-1678092","2010","65"
"428","16-1678092","2011","63"
"429","16-1678092","2012","70"
"430","16-1678092","2013","75"
"431","16-1678092","2014","67"
"432","16-1678092","2015","69"
"433","16-1678092","2016","81"
"434","16-1678092","2017","78"
"435","16-1678092","2018","77"
"436","16-1678092","2019","92"
"437","22-1179701","2009","153"
"438","22-1179701","2010","165"
"439","22-1179701","2011","236"
"440","22-1179701","2012","260"
"441","22-1179701","2013","265"
"442","22-1179701","2014","295"
"443","22-1179701","2015","318"
"444","22-1179701","2016","355"
"445","22-1179701","2017","394"
"446","22-1179701","2018","438"
"447","22-1179701","2019","430"
"448","01-0347381","2009","57"
"449","01-0347381","2010","60"
"450","01-0347381","2011","55"
"451","01-0347381","2012","55"
"452","01-0347381","2013","58"
"453","01-0347381","2014","65"
"454","01-0347381","2015","64"
"455","01-0347381","2016","64"
"456","01-0347381","2017","69"
"457","01-0347381","2018","82"
"458","01-0347381","2019","81"
"459","01-0347381","2020","94"
"460","01-0347381","2021","99"
"461","06-0863942","2008","148"
"462","06-0863942","2009","179"
"463","06-0863942","2010","170"
"464","06-0863942","2011","172"
"465","06-0863942","2012","177"
"466","06-0863942","2013","193"
"467","06-0863942","2014","200"
"468","06-0863942","2015","193"
"469","06-0863942","2016","206"
"470","06-0863942","2017","215"
"471","06-0863942","2018","230"
"472","06-0863942","2019","228"
"473","06-0863942","2020","206"
"474","06-0863942","2021","222"
"475","06-0972166","2009","363"
"476","06-0972166","2010","400"
"477","06-0972166","2011","442"
"478","06-0972166","2012","442"
"479","06-0972166","2013","445"
"480","06-0972166","2014","428"
"481","06-0972166","2016","461"
"482","06-0972166","2017","492"
"483","06-0972166","2018","507"
"484","06-0972166","2019","502"
"485","06-0972166","2020","530"
"486","06-0972166","2021","530"
"487","04-2525066","2009","312"
"488","04-2525066","2010","608"
"489","04-2525066","2011","643"
"490","04-2525066","2012","705"
"491","04-2525066","2013","799"
"492","04-2525066","2014","902"
"493","04-2525066","2015","978"
"494","04-2525066","2016","1018"
"495","04-2525066","2017","759"
"496","04-2525066","2018","762"
"497","04-2525066","2019","759"
"498","04-2525066","2020","764"
"499","04-2525066","2021","771"
"500","03-0240129","2009","89"
"501","03-0240129","2010","101"
"502","03-0240129","2011","99"
"503","03-0240129","2012","103"
"504","03-0240129","2013","103"
"505","03-0240129","2014","97"
"506","03-0240129","2015","97"
"507","03-0240129","2016","110"
"508","03-0240129","2017","111"
"509","03-0240129","2018","110"
"510","03-0240129","2019","110"
"511","03-0240129","2020","109"
"512","03-0240129","2021","109"
"513","04-3370560","2009","86"
"514","04-3370560","2010","134"
"515","04-3370560","2011","138"
"516","04-3370560","2012","161"
"517","04-3370560","2013","179"
"518","04-3370560","2014","188"
"519","04-3370560","2015","217"
"520","04-3370560","2016","193"
"521","04-3370560","2017","213"
"522","04-3370560","2018","210"
"523","04-3370560","2019","221"
"524","04-3370560","2020","214"
"525","04-3370560","2021","210"
"526","04-2507409","2009","54"
"527","04-2507409","2010","64"
"528","04-2507409","2011","70"
"529","04-2507409","2012","73"
"530","04-2507409","2013","78"
"531","04-2507409","2014","82"
"532","04-2507409","2015","82"
"533","04-2507409","2016","86"
"534","04-2507409","2017","72"
"535","04-2507409","2018","56"
"536","04-2507409","2019","68"
"537","04-2507409","2020","69"
"538","04-2507409","2021","62"
"539","04-2881348","2009","340"
"540","04-2881348","2010","350"
"541","04-2881348","2011","354"
"542","04-2881348","2012","351"
"543","04-2881348","2013","361"
"544","04-2881348","2014","406"
"545","04-2881348","2015","448"
"546","04-2881348","2016","482"
"547","04-2881348","2017","509"
"548","04-2881348","2018","508"
"549","04-2881348","2019","599"
"550","04-2881348","2020","652"
"551","04-2881348","2021","580"
"552","01-0376890","2008","166"
"553","01-0376890","2009","151"
"554","01-0376890","2010","167"
"555","01-0376890","2011","163"
"556","01-0376890","2012","185"
"557","01-0376890","2013","173"
"558","01-0376890","2014","180"
"559","01-0376890","2015","185"
"560","01-0376890","2016","187"
"561","01-0376890","2017","198"
"562","01-0376890","2018","201"
"563","01-0376890","2019","168"
"564","01-0376890","2020","162"
"565","01-0376890","2021","171"
"566","23-7305106","2009","192"
"567","23-7305106","2010","175"
"568","23-7305106","2011","187"
"569","23-7305106","2012","180"
"570","23-7305106","2013","168"
"571","23-7305106","2014","175"
"572","23-7305106","2015","187"
"573","23-7305106","2016","187"
"574","23-7305106","2017","210"
"575","23-7305106","2018","209"
"576","23-7305106","2019","214"
"577","23-7305106","2020","235"
"578","23-7305106","2021","251"
"579","04-2646695","2009","152"
"580","04-2646695","2010","160"
"581","04-2646695","2011","162"
"582","04-2646695","2012","183"
"583","04-2646695","2013","183"
"584","04-2646695","2014","186"
"585","04-2646695","2015","206"
"586","04-2646695","2016","203"
"587","04-2646695","2017","188"
"588","04-2646695","2018","183"
"589","04-2646695","2019","204"
"590","04-2646695","2020","219"
"591","04-2646695","2021","218"
"592","04-3373741","2009","44"
"593","04-3373741","2010","57"
"594","04-3373741","2011","61"
"595","04-3373741","2012","72"
"596","04-3373741","2013","83"
"597","04-3373741","2014","88"
"598","04-3373741","2015","85"
"599","04-3373741","2016","77"
"600","04-3373741","2017","85"
"601","04-3373741","2018","85"
"602","04-3373741","2019","99"
"603","04-3373741","2020","97"
"604","04-3373741","2021","103"
"605","05-0355097","2009","307"
"606","05-0355097","2010","327"
"607","05-0355097","2011","344"
"608","05-0355097","2012","434"
"609","05-0355097","2013","434"
"610","05-0355097","2014","469"
"611","05-0355097","2015","513"
"612","05-0355097","2016","524"
"613","05-0355097","2017","548"
"614","05-0355097","2018","596"
"615","05-0355097","2019","664"
"616","05-0355097","2020","734"
"617","05-0355097","2021","806"
"618","06-0986747","2009","147"
"619","06-0986747","2010","159"
"620","06-0986747","2011","165"
"621","06-0986747","2012","182"
"622","06-0986747","2013","211"
"623","06-0986747","2014","224"
"624","06-0986747","2015","230"
"625","06-0986747","2016","222"
"626","06-0986747","2017","215"
"627","06-0986747","2018","209"
"628","06-0986747","2019","216"
"629","06-0986747","2020","231"
"630","06-0986747","2021","226"
"631","23-7221597","2009","154"
"632","23-7221597","2010","198"
"633","23-7221597","2011","194"
"634","23-7221597","2012","194"
"635","23-7221597","2013","220"
"636","23-7221597","2014","220"
"637","23-7221597","2015","216"
"638","23-7221597","2016","234"
"639","23-7221597","2017","235"
"640","23-7221597","2018","229"
"641","23-7221597","2019","234"
"642","23-7221597","2020","252"
"643","23-7221597","2021","228"
"644","04-2675800","2009","260"
"645","04-2675800","2010","272"
"646","04-2675800","2011","274"
"647","04-2675800","2012","275"
"648","04-2675800","2013","272"
"649","04-2675800","2014","275"
"650","04-2675800","2015","283"
"651","04-2675800","2016","309"
"652","04-2675800","2017","322"
"653","04-2675800","2018","319"
"654","04-2675800","2019","307"
"655","04-2675800","2020","288"
"656","04-2675800","2021","288"
"657","51-0183476","2008","110"
"658","51-0183476","2009","107"
"659","51-0183476","2010","104"
"660","51-0183476","2011","115"
"661","51-0183476","2012","114"
"662","51-0183476","2013","141"
"663","51-0183476","2014","153"
"664","51-0183476","2015","168"
"665","51-0183476","2016","198"
"666","51-0183476","2017","199"
"667","51-0183476","2018","215"
"668","51-0183476","2019","222"
"669","51-0183476","2020","249"
"670","51-0183476","2021","286"
"671","04-2544151","2009","90"
"672","04-2544151","2010","90"
"673","04-2544151","2011","84"
"674","04-2544151","2012","102"
"675","04-2544151","2013","98"
"676","04-2544151","2014","106"
"677","04-2544151","2015","109"
"678","04-2544151","2016","86"
"679","04-2544151","2017","119"
"680","04-2544151","2018","108"
"681","04-2544151","2019","122"
"682","04-2544151","2020","97"
"683","04-2544151","2021","103"
"684","04-2619517","2009","224"
"685","04-2619517","2010","207"
"686","04-2619517","2011","223"
"687","04-2619517","2012","261"
"688","04-2619517","2013","292"
"689","04-2619517","2014","327"
"690","04-2619517","2015","318"
"691","04-2619517","2016","350"
"692","04-2619517","2017","385"
"693","04-2619517","2018","392"
"694","04-2619517","2019","378"
"695","04-2619517","2020","376"
"696","04-2619517","2021","387"
"697","06-0897105","2009","504"
"698","06-0897105","2010","529"
"699","06-0897105","2011","589"
"700","06-0897105","2012","662"
"701","06-0897105","2013","711"
"702","06-0897105","2014","747"
"703","06-0897105","2015","746"
"704","06-0897105","2016","812"
"705","06-0897105","2017","905"
"706","06-0897105","2018","964"
"707","06-0897105","2019","1003"
"708","06-0897105","2020","1086"
"709","06-0897105","2021","1256"
"710","04-2503444","2009","89"
"711","04-2503444","2010","95"
"712","04-2503444","2011","96"
"713","04-2503444","2012","103"
"714","04-2503444","2013","108"
"715","04-2503444","2014","120"
"716","04-2503444","2015","122"
"717","04-2503444","2016","122"
"718","04-2503444","2017","147"
"719","04-2503444","2018","151"
"720","04-2503444","2019","169"
"721","04-2503444","2020","192"
"722","04-2503444","2021","182"
"723","04-2708824","2009","618"
"724","04-2708824","2010","628"
"725","04-2708824","2011","644"
"726","04-2708824","2012","660"
"727","04-2708824","2013","673"
"728","04-2708824","2014","721"
"729","04-2708824","2015","729"
"730","04-2708824","2016","780"
"731","04-2708824","2017","764"
"732","04-2708824","2018","773"
"733","04-2708824","2019","766"
"734","04-2708824","2020","746"
"735","04-2708824","2021","755"
"736","05-0378071","2009","80"
"737","05-0378071","2010","78"
"738","05-0378071","2011","83"
"739","05-0378071","2012","65"
"740","05-0378071","2013","68"
"741","05-0378071","2014","77"
"742","05-0378071","2015","77"
"743","05-0378071","2016","72"
"744","05-0378071","2017","86"
"745","05-0378071","2018","78"
"746","05-0378071","2019","82"
"747","05-0378071","2020","76"
"748","05-0378071","2021","108"
"749","22-3160873","2009","144"
"750","22-3160873","2010","156"
"751","22-3160873","2011","156"
"752","22-3160873","2012","155"
"753","22-3160873","2013","173"
"754","22-3160873","2014","188"
"755","22-3160873","2015","198"
"756","22-3160873","2016","207"
"757","22-3160873","2017","232"
"758","22-3160873","2018","247"
"759","22-3160873","2019","260"
"760","22-3160873","2020","270"
"761","22-3160873","2021","283"
"762","23-7411014","2009","66"
"763","23-7411014","2010","92"
"764","23-7411014","2011","102"
"765","23-7411014","2012","118"
"766","23-7411014","2013","121"
"767","23-7411014","2014","104"
"768","23-7411014","2015","110"
"769","23-7411014","2016","128"
"770","23-7411014","2017","143"
"771","23-7411014","2018","167"
"772","23-7411014","2019","236"
"773","23-7411014","2020","276"
"774","23-7411014","2021","279"
"775","23-7411014","2022","329"
"776","01-0409494","2009","43"
"777","01-0409494","2011","44"
"778","01-0409494","2012","46"
"779","01-0409494","2013","46"
"780","01-0409494","2014","52"
"781","01-0409494","2015","55"
"782","01-0409494","2016","48"
"783","01-0409494","2017","51"
"784","01-0409494","2018","53"
"785","01-0409494","2019","46"
"786","01-0409494","2020","52"
"787","01-0409494","2021","67"
"788","04-3312968","2009","96"
"789","04-3312968","2010","102"
"790","04-3312968","2011","118"
"791","04-3312968","2012","131"
"792","04-3312968","2013","112"
"793","04-3312968","2014","105"
"794","04-3312968","2015","80"
"795","04-3312968","2016","80"
"796","04-3312968","2017","90"
"797","04-3312968","2018","101"
"798","04-3312968","2019","105"
"799","04-3312968","2020","106"
"800","04-3312968","2021","121"
"801","23-7423047","2009","60"
"802","23-7423047","2010","63"
"803","23-7423047","2011","55"
"804","23-7423047","2012","57"
"805","23-7423047","2013","56"
"806","23-7423047","2014","61"
"807","23-7423047","2015","62"
"808","23-7423047","2016","63"
"809","23-7423047","2017","66"
"810","23-7423047","2018","64"
"811","23-7423047","2019","65"
"812","23-7423047","2020","76"
"813","23-7423047","2021","92"
"814","06-1416492","2009","111"
"815","06-1416492","2010","116"
"816","06-1416492","2011","123"
"817","06-1416492","2012","139"
"818","06-1416492","2013","157"
"819","06-1416492","2014","175"
"820","06-1416492","2015","202"
"821","06-1416492","2016","183"
"822","06-1416492","2017","190"
"823","06-1416492","2018","213"
"824","06-1416492","2019","214"
"825","06-1416492","2020","221"
"826","06-1416492","2021","229"
"827","01-0467073","2009","12"
"828","01-0467073","2010","12"
"829","01-0467073","2011","12"
"830","01-0467073","2012","14"
"831","01-0467073","2013","12"
"832","01-0467073","2014","13"
"833","01-0467073","2015","14"
"834","01-0467073","2016","20"
"835","01-0467073","2017","25"
"836","01-0467073","2018","33"
"837","01-0467073","2019","40"
"838","01-0467073","2020","46"
"839","01-0467073","2021","51"
"840","04-2682152","2009","174"
"841","04-2682152","2010","175"
"842","04-2682152","2011","176"
"843","04-2682152","2012","178"
"844","04-2682152","2013","165"
"845","04-2682152","2014","198"
"846","04-2682152","2015","212"
"847","04-2682152","2016","214"
"848","04-2682152","2017","226"
"849","04-2682152","2018","226"
"850","04-2682152","2019","225"
"851","04-2682152","2020","225"
"852","04-2682152","2021","215"
"853","04-2582119","2009","144"
"854","04-2582119","2010","154"
"855","04-2582119","2011","141"
"856","04-2582119","2012","134"
"857","04-2582119","2013","158"
"858","04-2582119","2014","168"
"859","04-2582119","2015","185"
"860","04-2582119","2016","202"
"861","04-2582119","2017","202"
"862","04-2582119","2018","220"
"863","04-2582119","2019","270"
"864","04-2582119","2020","280"
"865","04-2582119","2021","283"
"866","04-3452697","2009","223"
"867","04-3452697","2010","252"
"868","04-3452697","2011","289"
"869","04-3452697","2012","300"
"870","04-3452697","2013","275"
"871","04-3452697","2014","300"
"872","04-3452697","2015","278"
"873","04-3452697","2016","273"
"874","04-3452697","2017","280"
"875","04-3452697","2018","294"
"876","04-3452697","2019","300"
"877","04-3452697","2020","332"
"878","03-0215982","2008","114"
"879","03-0215982","2009","120"
"880","03-0215982","2010","138"
"881","03-0215982","2011","133"
"882","03-0215982","2012","141"
"883","03-0215982","2013","155"
"884","03-0215982","2014","155"
"885","03-0215982","2015","153"
"886","03-0215982","2016","174"
"887","03-0215982","2017","196"
"888","03-0215982","2018","200"
"889","03-0215982","2019","234"
"890","03-0215982","2021","284"
"891","02-0492976","2009","42"
"892","02-0492976","2010","42"
"893","02-0492976","2011","46"
"894","02-0492976","2012","38"
"895","02-0492976","2013","30"
"896","02-0492976","2014","34"
"897","02-0492976","2015","38"
"898","02-0492976","2016","41"
"899","02-0492976","2018","55"
"900","02-0492976","2019","65"
"901","02-0492976","2020","74"
"902","02-0492976","2021","87"
"903","01-0514750","2008","454"
"904","01-0514750","2009","466"
"905","01-0514750","2010","595"
"906","01-0514750","2011","747"
"907","01-0514750","2012","839"
"908","01-0514750","2013","851"
"909","01-0514750","2014","862"
"910","01-0514750","2015","860"
"911","01-0514750","2016","903"
"912","01-0514750","2017","931"
"913","01-0514750","2018","1007"
"914","01-0514750","2019","1018"
"915","11-3650708","2008","116"
"916","11-3650708","2009","119"
"917","11-3650708","2010","131"
"918","11-3650708","2011","131"
"919","11-3650708","2012","140"
"920","11-3650708","2013","150"
"921","11-3650708","2014","152"
"922","11-3650708","2015","133"
"923","11-3650708","2016","141"
"924","11-3650708","2017","146"
"925","11-3650708","2018","140"
"926","11-3650708","2019","139"
"927","11-3650708","2020","129"
"928","11-3650708","2021","126"
"929","05-0310024","2009","343"
"930","05-0310024","2010","342"
"931","05-0310024","2011","395"
